"county","fips","candidate","state","votes","total","pct","Women","White","Citizen","IncomePerCap","Poverty","ChildPoverty","Professional","Service","Office","Production","Drive","Carpool","Transit","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","SelfEmployed","FamilyWork","Unemployment","Minority"
"chaves",35005,"Donald Trump","new mexico",12872,20271,0.634995806817621,50.2423606995791,41.6012444728085,65.8111865797511,20559.2352494264,21.9494841287931,31.7337025725183,28.9584324808923,22.6651350078254,20.8340687726976,12.5206637188312,80.747138016441,11.0266125723663,0.421855009041042,1.82517816170549,3.86298491133701,19.6923006792178,40.1878105483886,73.6371594414308,7.40881007734269,0.110540791053167,7.7860236130738,57.1527252283053
"chaves",35005,"Hillary Clinton","new mexico",5534,20271,0.273000838636476,50.2423606995791,41.6012444728085,65.8111865797511,20559.2352494264,21.9494841287931,31.7337025725183,28.9584324808923,22.6651350078254,20.8340687726976,12.5206637188312,80.747138016441,11.0266125723663,0.421855009041042,1.82517816170549,3.86298491133701,19.6923006792178,40.1878105483886,73.6371594414308,7.40881007734269,0.110540791053167,7.7860236130738,57.1527252283053
"cibola",35006,"Hillary Clinton","new mexico",3741,8063,0.463971226590599,49.539843692937,20.9236323131984,72.2299320721642,16072.3851435249,29.1549448542838,44.5019319260828,28.4429479219925,27.6250785187349,21.9675224600102,8.97247096632824,71.9338507048426,17.3456029508436,0.399667664889343,2.12319406909649,6.18360967058652,21.434537287269,35.1508290117595,65.1071105105544,7.374461324958,0.19548243371558,14.4377620334526,77.5111752246001
"cibola",35006,"Donald Trump","new mexico",3195,8063,0.396254495845219,49.539843692937,20.9236323131984,72.2299320721642,16072.3851435249,29.1549448542838,44.5019319260828,28.4429479219925,27.6250785187349,21.9675224600102,8.97247096632824,71.9338507048426,17.3456029508436,0.399667664889343,2.12319406909649,6.18360967058652,21.434537287269,35.1508290117595,65.1071105105544,7.374461324958,0.19548243371558,14.4377620334526,77.5111752246001
"colfax",35007,"Donald Trump","new mexico",2585,5332,0.484808702175544,49.9115180426252,47.9542971454951,78.418096483804,20533.628837424,19.8939909209818,24.7457028545049,33.2314149419097,23.1824805724398,23.5494190967146,7.33307686389167,76.7280064630299,14.2040163114565,0.642840655535893,0.894421789643764,4.81520350850196,14.9642994537201,38.3242286681542,68.5646302992998,6.70387781795799,0.406432253596984,9.53773947834116,50.8189197507117
"colfax",35007,"Hillary Clinton","new mexico",2129,5332,0.399287321830458,49.9115180426252,47.9542971454951,78.418096483804,20533.628837424,19.8939909209818,24.7457028545049,33.2314149419097,23.1824805724398,23.5494190967146,7.33307686389167,76.7280064630299,14.2040163114565,0.642840655535893,0.894421789643764,4.81520350850196,14.9642994537201,38.3242286681542,68.5646302992998,6.70387781795799,0.406432253596984,9.53773947834116,50.8189197507117
"curry",35009,"Donald Trump","new mexico",9035,13370,0.675766641735228,48.3375250014852,50.0433807948987,67.5426262946314,21929.1683466345,20.9374497494901,30.9119630869161,27.5488840921243,19.0956829118562,20.9941145018516,15.5029783947561,83.1374200447551,9.9147513713686,0.384529774045983,3.00482206863774,1.50571915163277,14.4576865952433,40.7925223280591,72.7553676456027,4.53233063350298,0,9.21868031764263,47.7789769689288
"curry",35009,"Hillary Clinton","new mexico",3121,13370,0.233433059087509,48.3375250014852,50.0433807948987,67.5426262946314,21929.1683466345,20.9374497494901,30.9119630869161,27.5488840921243,19.0956829118562,20.9941145018516,15.5029783947561,83.1374200447551,9.9147513713686,0.384529774045983,3.00482206863774,1.50571915163277,14.4576865952433,40.7925223280591,72.7553676456027,4.53233063350298,0,9.21868031764263,47.7789769689288
"de baca",35011,"Donald Trump","new mexico",620,910,0.681318681318681,55.0990099009901,50.2,74.7029702970297,24370,22.8,14.4,27.5,27.9,15.3,7.3,75.7,12.1,0,2.1,7.4,12.7,30.6435643564356,66.2,8.2,0,5.2,45.1
"de baca",35011,"Hillary Clinton","new mexico",193,910,0.212087912087912,55.0990099009901,50.2,74.7029702970297,24370,22.8,14.4,27.5,27.9,15.3,7.3,75.7,12.1,0,2.1,7.4,12.7,30.6435643564356,66.2,8.2,0,5.2,45.1
"eddy",35015,"Donald Trump","new mexico",13147,19667,0.668480195250928,49.2262899660322,50.113231250337,70.7320141622185,28308.1339839327,11.3874966301828,12.2630110889452,26.3545820528028,16.7085153034633,21.6174871048328,16.1158911593968,83.7132977480635,10.4113783001743,0.466199385345339,0.96784026167754,2.78190902392121,17.1499056451178,46.0451825093007,79.2612282309807,5.06766772703582,0,5.92871263995974,49.065502057835
"eddy",35015,"Hillary Clinton","new mexico",5033,19667,0.255910916764123,49.2262899660322,50.113231250337,70.7320141622185,28308.1339839327,11.3874966301828,12.2630110889452,26.3545820528028,16.7085153034633,21.6174871048328,16.1158911593968,83.7132977480635,10.4113783001743,0.466199385345339,0.96784026167754,2.78190902392121,17.1499056451178,46.0451825093007,79.2612282309807,5.06766772703582,0,5.92871263995974,49.065502057835
"grant",35017,"Hillary Clinton","new mexico",6276,12811,0.489891499492624,50.606133452385,47.5575157113912,76.8707716611147,23011.2632301933,20.8862392252481,30.1230090319036,33.39974243621,21.4900614718912,22.4732133658436,6.94857996497132,80.2289913801985,9.92827706995432,0.385047563446547,0.531336927779113,5.75585013221608,18.2258147601223,36.3508362237714,68.506184965143,7.12589718053505,0.677282873725059,9.88508877365294,50.5571585562691
"grant",35017,"Donald Trump","new mexico",5288,12811,0.412770275544454,50.606133452385,47.5575157113912,76.8707716611147,23011.2632301933,20.8862392252481,30.1230090319036,33.39974243621,21.4900614718912,22.4732133658436,6.94857996497132,80.2289913801985,9.92827706995432,0.385047563446547,0.531336927779113,5.75585013221608,18.2258147601223,36.3508362237714,68.506184965143,7.12589718053505,0.677282873725059,9.88508877365294,50.5571585562691
"guadalupe",35019,"Hillary Clinton","new mexico",970,1827,0.530925013683634,42.1122403888643,17.8,78.6345558992488,16820,14.1,20.4,33.8,21.8,30.1,7.3,82.9,9.3,0,2.1,2.6,16.8,28.7450287229342,56.7,4.3,0.5,1.2,81.2
"guadalupe",35019,"Donald Trump","new mexico",595,1827,0.325670498084291,42.1122403888643,17.8,78.6345558992488,16820,14.1,20.4,33.8,21.8,30.1,7.3,82.9,9.3,0,2.1,2.6,16.8,28.7450287229342,56.7,4.3,0.5,1.2,81.2
"harding",35021,"Donald Trump","new mexico",311,527,0.590132827324478,48.3185840707965,61.1,80.8849557522124,22946,10.4,5.2,38.5,21,23.4,5.9,64,3.9,0,1,22.2,20.3,36.283185840708,46.3,10.7,0,6,38.8
"harding",35021,"Hillary Clinton","new mexico",156,527,0.296015180265655,48.3185840707965,61.1,80.8849557522124,22946,10.4,5.2,38.5,21,23.4,5.9,64,3.9,0,1,22.2,20.3,36.283185840708,46.3,10.7,0,6,38.8
"hidalgo",35023,"Donald Trump","new mexico",910,1872,0.486111111111111,50.1830712901142,42.0607365927202,71.7854835235839,18871.0310144303,23.2983631272884,37.228925263838,24.6091966401034,26.8721516261038,20.7153133749731,9.36439801852251,78.6347835451217,10.8788283437433,0.0415248761576567,0.913547275468447,5.76521645487831,20.0516691794099,40.2110704286022,68.9229377557614,4.2008184363558,0.756773637734224,11.8814128796037,57.3163902649149
"hidalgo",35023,"Hillary Clinton","new mexico",784,1872,0.418803418803419,50.1830712901142,42.0607365927202,71.7854835235839,18871.0310144303,23.2983631272884,37.228925263838,24.6091966401034,26.8721516261038,20.7153133749731,9.36439801852251,78.6347835451217,10.8788283437433,0.0415248761576567,0.913547275468447,5.76521645487831,20.0516691794099,40.2110704286022,68.9229377557614,4.2008184363558,0.756773637734224,11.8814128796037,57.3163902649149
"lea",35025,"Donald Trump","new mexico",12495,17712,0.705453929539295,48.6316747127617,39.4429338655006,59.5415926866132,23803.709269395,14.8148292711558,20.4455722020866,23.2525055393329,15.0502545892089,21.8911253283247,18.4454958986926,82.2734728315896,11.5554021335603,0.551611909198961,1.2465773525657,2.37932618233576,18.5725014306886,43.0527227105313,81.1411128556545,5.31199870871179,0.0826791295543588,6.15610500520917,58.6316893864914
"lea",35025,"Hillary Clinton","new mexico",3930,17712,0.221883468834688,48.6316747127617,39.4429338655006,59.5415926866132,23803.709269395,14.8148292711558,20.4455722020866,23.2525055393329,15.0502545892089,21.8911253283247,18.4454958986926,82.2734728315896,11.5554021335603,0.551611909198961,1.2465773525657,2.37932618233576,18.5725014306886,43.0527227105313,81.1411128556545,5.31199870871179,0.0826791295543588,6.15610500520917,58.6316893864914
"lincoln",35027,"Donald Trump","new mexico",5896,8902,0.662323073466637,50.3386684060007,63.9826902814711,77.6529025136722,25755.7913300888,16.5846921880488,20.8055541618584,32.1542270834379,25.7920074256184,23.2345792985801,7.31556369474688,71.9612713862827,15.125633435352,0,1.53407255029853,7.50851437459234,21.5844764437309,40.2889970397873,65.9200692388741,10.4610757112037,0.926054889368321,7.31409362299935,34.415187396518
"lincoln",35027,"Hillary Clinton","new mexico",2331,8902,0.261851269377668,50.3386684060007,63.9826902814711,77.6529025136722,25755.7913300888,16.5846921880488,20.8055541618584,32.1542270834379,25.7920074256184,23.2345792985801,7.31556369474688,71.9612713862827,15.125633435352,0,1.53407255029853,7.50851437459234,21.5844764437309,40.2889970397873,65.9200692388741,10.4610757112037,0.926054889368321,7.31409362299935,34.415187396518
